Date,Price,Open,High,Low,Vol.,Change %
1-Jan-17,995.4,963.4,1001.6,956.1,41.15,0.03
2-Jan-17,1017,995.4,1031.7,990.2,64.95,0.02
3-Jan-17,1033.3,1017,1035.5,1006.5,54.79,0.02
4-Jan-17,1135.4,1033.3,1148.5,1022.3,156.27,0.1
5-Jan-17,989.3,1135.4,1150.6,874.5,240.01,-0.13
6-Jan-17,886.2,989.3,1027.4,852.5,194.29,-0.1
7-Jan-17,888.9,886.2,900.9,806.7,130.66,0
8-Jan-17,900.9,888.9,936.1,875.8,76.91,0.01
9-Jan-17,899.8,900.9,910.5,870.9,62.58,0
10-Jan-17,904.4,899.8,911.3,890.1,53.71,0.01
11-Jan-17,785.4,904.4,917.7,751.6,194.44,-0.13
12-Jan-17,810.1,785.4,828.2,739.5,120.24,0.03
13-Jan-17,824.8,810.1,835,771,89.86,0.02
14-Jan-17,819.6,824.8,838.9,808.3,44.21,-0.01
15-Jan-17,821.2,819.6,826.4,808.6,24.4,0
16-Jan-17,827.3,821.2,836.7,817.7,33.22,0.01
17-Jan-17,899.7,827.3,906.4,825,82.21,0.09
18-Jan-17,872,899.7,913.7,845.9,69.26,-0.03
19-Jan-17,895.2,872,905.3,870.7,58.44,0.03
20-Jan-17,892.9,895.2,901.5,878.9,38.87,0
21-Jan-17,919.8,892.9,928.9,889.5,40.38,0.03
22-Jan-17,918.8,919.8,938.4,888.6,47.93,0
23-Jan-17,921.5,918.8,928,910.8,32.74,0
24-Jan-17,893.8,921.5,925.6,889.2,58.87,-0.03
25-Jan-17,894.4,893.8,905.7,883.6,37.9,0
26-Jan-17,915.6,894.4,919.3,893.5,33.8,0.02
27-Jan-17,918,915.6,922.6,907.9,30.97,0
28-Jan-17,918.5,918,921.9,912.8,14.31,0
29-Jan-17,914.5,918.5,922.4,912.7,11.05,0
30-Jan-17,920.7,914.5,922.3,911.5,19.06,0.01
31-Jan-17,965.5,920.7,967.5,917.4,54.67,0.05
1-Feb-17,982.4,965.5,986.6,959.8,45.22,0.02
2-Feb-17,1004,982.4,1009.1,973.5,50.86,0.02
3-Feb-17,1013,1004,1023.7,989.2,61.67,0.01
4-Feb-17,1031.8,1013,1041,1000.4,39.46,0.02
5-Feb-17,1016.1,1031.8,1033.7,1004,31.06,-0.02
6-Feb-17,1024.7,1016.1,1030.6,1010.8,32.02,0.01
7-Feb-17,1049.6,1024.7,1054.1,1019.9,39.55,0.02
