Date	Price	Open	High	Low	Vol.	Change %	Predict
10-Mar-16	11.75	11.2	11.85	11.07	0	0.0491	11.95
11-Mar-16	11.95	11.75	11.95	11.75	0.18	0.017	12.92
12-Mar-16	12.92	11.95	13.45	11.95	0.83	0.0812	15.07
13-Mar-16	15.07	12.92	15.07	12.92	1.3	0.1664	12.5
14-Mar-16	12.5	15.07	15.07	11.4	92.18	-0.1705	13.06
15-Mar-16	13.06	12.63	13.42	11.98	39.73	0.0448	12.88
16-Mar-16	12.88	13.06	13.89	12.62	19.24	-0.0138	10.74
17-Mar-16	10.74	12.58	12.61	10.44	89.45	-0.1661	10.74
18-Mar-16	10.74	11.09	11.2	8.34	157.37	0	10.31
19-Mar-16	10.31	10.97	11.1	9.78	67.55	-0.04	10.18
20-Mar-16	10.18	10.55	10.88	9.56	33.18	-0.0126	11.95
21-Mar-16	11.95	10.18	12.05	10.14	38.86	0.1739	11.37
22-Mar-16	11.37	11.53	11.97	11.08	26.29	-0.0485	12.43
23-Mar-16	12.43	11.37	12.43	11.2	27.02	0.0932	11.2
24-Mar-16	11.2	12.43	12.47	10.67	50.8	-0.099	10.67
25-Mar-16	10.67	11.32	11.35	10.52	87.42	-0.0473	11
26-Mar-16	11	10.67	11.2	10.58	16.12	0.0309	10.4
27-Mar-16	10.4	10.93	10.98	10.17	55.81	-0.0545	11.62
28-Mar-16	11.62	10.4	11.94	10.4	77.31	0.1173	11.79
29-Mar-16	11.79	11.78	11.88	11.37	47.57	0.0146	11.85
30-Mar-16	11.85	11.79	12.3	11.44	36.96	0.0051	11.41
31-Mar-16	11.41	11.92	12.02	11.29	32.67	-0.0371	11.62
1-Apr-16	11.62	11.41	11.94	11.39	22.2	0.0184	11.61
2-Apr-16	11.61	11.65	11.77	11.43	12.17	-0.0009	11.75
3-Apr-16	11.75	11.61	11.76	11.4	18.85	0.0121	11.15
4-Apr-16	11.15	11.6	11.67	10.88	38.74	-0.0511	10.4
5-Apr-16	10.4	11.15	11.15	9.7	53.39	-0.0673	10.76
6-Apr-16	10.76	10.4	10.96	10.2	40.04	0.0346	10.12
7-Apr-16	10.12	10.76	10.85	9.4	50.74	-0.0595	9.71
8-Apr-16	9.71	10.05	10.34	9.6	25.97	-0.0405	9.15
9-Apr-16	9.15	9.69	10.2	9	64.96	-0.0577	8.76
10-Apr-16	8.76	9.15	9.43	7.52	171.99	-0.0426	8.68
11-Apr-16	8.68	8.56	8.93	8.01	60.28	-0.0091	7.53
12-Apr-16	7.53	8.53	8.54	7.21	63.82	-0.1325	8.09
13-Apr-16	8.09	7.48	8.8	6.86	142.21	0.0744	8.46
14-Apr-16	8.46	8.08	8.86	8	36.15	0.0457	8.32
15-Apr-16	8.32	8.39	8.69	8.1	30.48	-0.0165	8.54
16-Apr-16	8.54	8.23	8.68	8.18	29.26	0.0264	9.46
17-Apr-16	9.46	8.7	10.9	8.61	96.05	0.1077	8.97
18-Apr-16	8.97	9.3	9.55	8.44	37.88	-0.0518	8.71
19-Apr-16	8.71	8.97	9.38	8.65	35.26	-0.029	8.61
20-Apr-16	8.61	8.73	9.05	8.35	167.71	-0.0115	8.11
21-Apr-16	8.11	8.61	8.8	8	45.52	-0.0581	7.97
22-Apr-16	7.97	8.23	8.41	7.73	97.37	-0.0173	8.46
23-Apr-16	8.46	7.95	8.8	7.81	89.57	0.0615	8.1
24-Apr-16	8.1	8.35	8.5	8.01	52.06	-0.0426	7.54
25-Apr-16	7.54	8.05	8.15	7.32	207.06	-0.0691	7.5
26-Apr-16	7.5	7.56	7.6	7.12	129.27	-0.0053	7.8
27-Apr-16	7.8	7.4	7.99	7.31	90.46	0.04	7.33
28-Apr-16	7.33	7.73	7.87	7.25	69.4	-0.0603	7.52
29-Apr-16	7.52	7.23	7.72	7.19	51.16	0.0259	8.87
30-Apr-16	8.87	7.45	9.36	7.45	267.97	0.1795	8.75
1-May-16	8.75	8.74	9	8.35	71.99	-0.0135	10
2-May-16	10	8.83	10.3	8.79	295.38	0.1429	9.34
3-May-16	9.34	10.01	10.01	9.18	128.32	-0.066	9.46
4-May-16	9.46	9.38	10	9.25	74.7	0.0128	9.79
5-May-16	9.79	9.4	10	9.3	62.44	0.0349	9.35
6-May-16	9.35	9.85	9.98	9.12	92.42	-0.0449	9.35
7-May-16	9.35	9.45	9.64	9.2	31.39	0	9.5
8-May-16	9.5	9.41	9.64	9	80.09	0.016	9.32
9-May-16	9.32	9.51	9.65	9.25	77.29	-0.0189	9.38
10-May-16	9.38	9.31	9.47	9.28	18.32	0.0064	9.89
11-May-16	9.89	9.38	9.98	9.3	110.31	0.0544	10.04
12-May-16	10.04	9.92	10.47	9.79	142.19	0.0152	10.6
13-May-16	10.6	10.09	11.11	10.08	194.28	0.0558	10.16
14-May-16	10.16	10.6	10.75	9.71	121.86	-0.0415	9.97
15-May-16	9.97	10.25	10.42	9.93	42.73	-0.0187	11.09
16-May-16	11.09	10.01	11.47	10	257.21	0.1123	12.08
17-May-16	12.08	11.15	12.6	11.1	540.97	0.0893	13.35
18-May-16	13.35	12.28	14.4	12.21	420.07	0.1051	14.58
19-May-16	14.58	13.4	14.65	13.2	393.14	0.0921	13.79
20-May-16	13.79	14.74	14.89	13.31	338.69	-0.0542	14
21-May-16	14	13.6	14	13.01	209.03	0.0152	14.21
22-May-16	14.21	14.06	14.51	13.62	118.19	0.015	13.42
23-May-16	13.42	14.21	14.49	13.32	170.09	-0.0556	12.73
24-May-16	12.73	13.38	13.82	12	437.47	-0.0514	12.49
25-May-16	12.49	12.84	12.99	11.8	247.58	-0.0189	12.48
26-May-16	12.48	12.52	13.07	12.13	215.64	-0.0008	11.12
27-May-16	11.12	12.4	12.43	10.53	645.84	-0.109	11.98
28-May-16	11.98	10.99	12.5	10.38	587.07	0.0773	12.41
29-May-16	12.41	11.8	12.89	11.78	455.11	0.0359	12.72
30-May-16	12.72	12.44	12.81	12.3	122.98	0.025	14.01
31-May-16	14.01	12.78	14.28	12.6	517.98	0.1014	13.85
1-Jun-16	13.85	14.07	14.3	13.46	289.63	-0.0114	13.8
2-Jun-16	13.8	13.94	14.03	13.61	155.53	-0.0036	13.84
3-Jun-16	13.84	13.82	13.99	13.42	200.81	0.0029	13.81
4-Jun-16	13.81	13.9	13.9	13.4	139.12	-0.0022	13.95
5-Jun-16	13.95	13.75	13.97	13.69	54.66	0.0101	14.03
6-Jun-16	14.03	14	14.19	13.8	105.55	0.0057	14.5
7-Jun-16	14.5	13.94	14.7	13.88	199.89	0.0335	14.49
8-Jun-16	14.49	14.6	14.89	14.3	257.01	-0.0007	14.45
9-Jun-16	14.45	14.51	14.7	14.37	64.98	-0.0028	13.97
10-Jun-16	13.97	14.44	14.46	13.56	220.15	-0.0332	14.15
11-Jun-16	14.15	13.95	14.28	13.81	109.42	0.0129	15.8
