Date,Price,Open,High,Low,Vol.,Change %
1-Jan-17,8.2,8.17,8.59,8.03,144.92,0.025
2-Jan-17,8.37,8.19,8.5,8.11,101.27,0.0207
3-Jan-17,9.74,8.43,9.9,8.3,603.42,0.1637
4-Jan-17,11,9.57,11.1,9.44,556.25,0.1294
5-Jan-17,10.15,11.16,11.7,9.2,490.64,-0.0773
6-Jan-17,10.08,10.23,10.4,9.47,144.69,-0.0069
7-Jan-17,9.84,10.09,10.19,9.48,107.33,-0.0238
8-Jan-17,10.28,9.8,10.48,9.8,116.55,0.0447
9-Jan-17,10.26,10.43,10.84,9.5,165.98,-0.0019
10-Jan-17,10.61,10.43,10.75,10.2,96.97,0.0341
11-Jan-17,9.79,10.61,10.7,9.41,159.09,-0.0773
12-Jan-17,9.83,9.48,10.04,9.08,120.95,0.0041
13-Jan-17,9.67,9.83,9.83,9.39,39.76,-0.0163
14-Jan-17,9.67,9.72,9.87,9.51,17.44,0
15-Jan-17,9.81,9.67,9.83,9.6,16.89,0.0145
16-Jan-17,9.61,9.72,9.78,9.55,16.03,-0.0204
17-Jan-17,10.12,9.54,10.6,9.53,237.84,0.0531
18-Jan-17,10.19,10.3,10.49,9.74,99.39,0.0069
19-Jan-17,10.38,10.31,10.51,10.15,50.64,0.0186
20-Jan-17,10.62,10.38,10.75,10.3,63.55,0.0231
21-Jan-17,10.95,10.64,11.09,10.56,125.31,0.0311
22-Jan-17,10.64,10.91,10.98,10.34,140.66,-0.0283
23-Jan-17,10.77,10.64,10.83,10.59,54.39,0.0122
24-Jan-17,10.5,10.58,10.75,10.46,105.21,-0.0251
25-Jan-17,10.48,10.52,10.58,10.35,26.19,-0.0019
26-Jan-17,10.63,10.49,10.63,10.43,84.72,0.0143
27-Jan-17,10.5,10.52,10.58,10.36,61.25,-0.0122
28-Jan-17,10.51,10.5,10.54,10.35,102.56,0.001
29-Jan-17,10.46,10.49,10.51,10.38,38.28,-0.0048
30-Jan-17,10.53,10.44,10.69,10.38,107,0.0067
31-Jan-17,10.71,10.5,10.74,10.38,250.34,0.0171
1-Feb-17,10.71,10.71,10.77,10.41,113.79,0
2-Feb-17,10.8,10.71,10.84,10.53,149.42,0.0084
3-Feb-17,10.93,10.78,10.93,10.55,102.56,0.012
4-Feb-17,11.32,11,11.4,11,158.07,0.0357
5-Feb-17,11.18,11.32,11.37,11.05,48.07,-0.0124
6-Feb-17,11.32,11.18,11.33,11.12,69.66,0.0125
7-Feb-17,11.41,11.31,11.5,11.25,116.31,0.008
8-Feb-17,11.35,11.45,11.6,11,78.89,-0.0053
9-Feb-17,10.9,11.35,11.51,10.41,205.68,-0.0396
10-Feb-17,11.3,10.95,11.39,10.75,141.08,0.0367
11-Feb-17,11.33,11.27,11.38,11.13,73.26,0.0027
12-Feb-17,11.26,11.33,11.4,11.22,35.22,-0.0062
13-Feb-17,11.35,11.33,11.37,11.05,59.34,0.008
14-Feb-17,12.96,11.32,13.4,11.32,613.95,0.1419
15-Feb-17,12.92,13.02,13.15,12.59,302.77,-0.0031
16-Feb-17,12.92,12.92,12.99,12.57,116.46,0
17-Feb-17,12.76,12.92,12.92,12.6,86.68,-0.0124
18-Feb-17,12.79,12.76,12.9,12.7,67.3,0.0024
19-Feb-17,12.8,12.79,12.94,12.7,54.51,0.0008
20-Feb-17,12.4,12.8,12.91,12.4,91.26,-0.0313
21-Feb-17,12.82,12.4,12.89,12.25,174.1,0.0339
22-Feb-17,12.68,12.82,12.85,12.6,47.57,-0.0109
23-Feb-17,13.27,12.68,13.37,12.6,168.68,0.0465
24-Feb-17,13.11,13.27,13.31,12.7,145.36,-0.0121
25-Feb-17,13.55,13.11,13.8,13.05,223.07,0.0336
26-Feb-17,14.57,13.55,14.66,13.3,284.67,0.0753
27-Feb-17,15.5,14.57,15.75,14.3,469.29,0.0638
28-Feb-17,15.86,15.5,16.23,15.18,616.6,0.0232
1-Mar-17,17.43,15.86,17.49,15.62,343.43,0.099
2-Mar-17,19.02,17.43,19.45,16.3,903.09,0.0912
3-Mar-17,19.49,19.02,20.73,18.43,981,0.0247
4-Mar-17,18.5,19.49,20,18.4,331.95,-0.0508
5-Mar-17,19.35,18.5,19.45,18.15,226.39,0.0459
6-Mar-17,19.51,19.35,20.23,19.14,316.91,0.0083
7-Mar-17,18.88,19.51,19.67,18.5,228.66,-0.0323
8-Mar-17,16.51,18.88,18.88,16.51,562.05,-0.1255
9-Mar-17,17.75,16.51,18,16.25,281.6,0.0751
10-Mar-17,19.18,17.75,19.7,16.5,824.86,0.0806
11-Mar-17,21.3,19.18,21.45,18.83,661.77,0.1105
12-Mar-17,23.2,21.3,23.23,21.05,786.85,0.0892
13-Mar-17,28.4,23.2,30.6,23.2,1.78,0.2241
14-Mar-17,28.66,28.4,29.93,27,701.89,0.0092
15-Mar-17,34.8,28.66,34.8,28.36,1.36,0.2142
16-Mar-17,45.07,34.8,46.21,34.8,3.06,0.2951
17-Mar-17,44.65,45.07,51.88,32.84,3.39,-0.0093
