Date	Price	Open	High	Low	Vol.	Change %	Predict
1-Jan-17	995.4	963.4	"1,001.60"	956.1	41.15	3.33%	"1,017.00"
2-Jan-17	"1,017.00"	995.4	"1,031.70"	990.2	64.95	2.17%	"1,033.30"
3-Jan-17	"1,033.30"	"1,017.00"	"1,035.50"	"1,006.50"	54.79	1.60%	"1,135.40"
4-Jan-17	"1,135.40"	"1,033.30"	"1,148.50"	"1,022.30"	156.27	9.88%	989.3
5-Jan-17	989.3	"1,135.40"	"1,150.60"	874.5	240.01	-12.86%	886.2
6-Jan-17	886.2	989.3	"1,027.40"	852.5	194.29	-10.43%	888.9
7-Jan-17	888.9	886.2	900.9	806.7	130.66	0.31%	900.9
8-Jan-17	900.9	888.9	936.1	875.8	76.91	1.35%	899.8
9-Jan-17	899.8	900.9	910.5	870.9	62.58	-0.12%	904.4
10-Jan-17	904.4	899.8	911.3	890.1	53.71	0.51%	785.4
11-Jan-17	785.4	904.4	917.7	751.6	194.44	-13.15%	810.1
12-Jan-17	810.1	785.4	828.2	739.5	120.24	3.14%	824.8
13-Jan-17	824.8	810.1	835	771	89.86	1.82%	819.6
14-Jan-17	819.6	824.8	838.9	808.3	44.21	-0.63%	821.2
15-Jan-17	821.2	819.6	826.4	808.6	24.4	0.19%	827.3
16-Jan-17	827.3	821.2	836.7	817.7	33.22	0.75%	899.7
17-Jan-17	899.7	827.3	906.4	825	82.21	8.74%	872
18-Jan-17	872	899.7	913.7	845.9	69.26	-3.07%	895.2
19-Jan-17	895.2	872	905.3	870.7	58.44	2.66%	892.9
20-Jan-17	892.9	895.2	901.5	878.9	38.87	-0.26%	919.8
21-Jan-17	919.8	892.9	928.9	889.5	40.38	3.02%	918.8
22-Jan-17	918.8	919.8	938.4	888.6	47.93	-0.11%	921.5
23-Jan-17	921.5	918.8	928	910.8	32.74	0.29%	893.8
24-Jan-17	893.8	921.5	925.6	889.2	58.87	-3.01%	894.4
25-Jan-17	894.4	893.8	905.7	883.6	37.9	0.07%	915.6
26-Jan-17	915.6	894.4	919.3	893.5	33.8	2.36%	918
27-Jan-17	918	915.6	922.6	907.9	30.97	0.27%	918.5
28-Jan-17	918.5	918	921.9	912.8	14.31	0.05%	914.5
29-Jan-17	914.5	918.5	922.4	912.7	11.05	-0.43%	920.7
30-Jan-17	920.7	914.5	922.3	911.5	19.06	0.68%	965.5
31-Jan-17	965.5	920.7	967.5	917.4	54.67	4.86%	982.4
1-Feb-17	982.4	965.5	986.6	959.8	45.22	1.75%	"1,004.00"
2-Feb-17	"1,004.00"	982.4	"1,009.10"	973.5	50.86	2.19%	"1,013.00"
3-Feb-17	"1,013.00"	"1,004.00"	"1,023.70"	989.2	61.67	0.90%	"1,031.80"
4-Feb-17	"1,031.80"	"1,013.00"	"1,041.00"	"1,000.40"	39.46	1.86%	"1,016.10"
5-Feb-17	"1,016.10"	"1,031.80"	"1,033.70"	"1,004.00"	31.06	-1.53%	"1,024.70"
6-Feb-17	"1,024.70"	"1,016.10"	"1,030.60"	"1,010.80"	32.02	0.84%	"1,049.60"
7-Feb-17	"1,049.60"	"1,024.70"	"1,054.10"	"1,019.90"	39.55	2.43%	"1,055.50"
8-Feb-17	"1,055.50"	"1,049.60"	"1,069.20"	"1,020.30"	65.15	0.56%	979
9-Feb-17	979	"1,055.50"	"1,073.00"	924.7	146.75	-7.25%	997.6
10-Feb-17	997.6	979	"1,005.60"	947	62.13	1.91%	"1,008.30"
11-Feb-17	"1,008.30"	997.6	"1,014.30"	983.9	28.32	1.07%	996.5
12-Feb-17	996.5	"1,008.30"	"1,007.80"	992.5	14.75	-1.17%	995.4
13-Feb-17	995.4	996.5	"1,007.60"	975.1	32.91	-0.12%	"1,008.30"
14-Feb-17	"1,008.30"	995.4	"1,013.80"	986.5	39.54	1.30%	"1,008.20"
15-Feb-17	"1,008.20"	"1,008.30"	"1,010.90"	999.7	23.36	-0.01%	"1,031.90"
