Date,Price,Open,High,Low,Vol.,Change %,BTC Price,BTC Open,BTC High,BTC Low,BTC Vol.,BTC Change %
1-Jan-17,8.2,8.17,8.59,8.03,144.92,0.025,995.4,963.4,1001.6,956.1,41.15,0.0333
2-Jan-17,8.37,8.19,8.5,8.11,101.27,0.0207,1017,995.4,1031.7,990.2,64.95,0.0217
3-Jan-17,9.74,8.43,9.9,8.3,603.42,0.1637,1033.3,1017,1035.5,1006.5,54.79,0.016
4-Jan-17,11,9.57,11.1,9.44,556.25,0.1294,1135.4,1033.3,1148.5,1022.3,156.27,0.0988
5-Jan-17,10.15,11.16,11.7,9.2,490.64,-0.0773,989.3,1135.4,1150.6,874.5,240.01,-0.1286
6-Jan-17,10.08,10.23,10.4,9.47,144.69,-0.0069,886.2,989.3,1027.4,852.5,194.29,-0.1043
7-Jan-17,9.84,10.09,10.19,9.48,107.33,-0.0238,888.9,886.2,900.9,806.7,130.66,0.0031
8-Jan-17,10.28,9.8,10.48,9.8,116.55,0.0447,900.9,888.9,936.1,875.8,76.91,0.0135
9-Jan-17,10.26,10.43,10.84,9.5,165.98,-0.0019,899.8,900.9,910.5,870.9,62.58,-0.0012
10-Jan-17,10.61,10.43,10.75,10.2,96.97,0.0341,904.4,899.8,911.3,890.1,53.71,0.0051
11-Jan-17,9.79,10.61,10.7,9.41,159.09,-0.0773,785.4,904.4,917.7,751.6,194.44,-0.1315
12-Jan-17,9.83,9.48,10.04,9.08,120.95,0.0041,810.1,785.4,828.2,739.5,120.24,0.0314
13-Jan-17,9.67,9.83,9.83,9.39,39.76,-0.0163,824.8,810.1,835,771,89.86,0.0182
14-Jan-17,9.67,9.72,9.87,9.51,17.44,0,819.6,824.8,838.9,808.3,44.21,-0.0063
15-Jan-17,9.81,9.67,9.83,9.6,16.89,0.0145,821.2,819.6,826.4,808.6,24.4,0.0019
16-Jan-17,9.61,9.72,9.78,9.55,16.03,-0.0204,827.3,821.2,836.7,817.7,33.22,0.0075
17-Jan-17,10.12,9.54,10.6,9.53,237.84,0.0531,899.7,827.3,906.4,825,82.21,0.0874
18-Jan-17,10.19,10.3,10.49,9.74,99.39,0.0069,872,899.7,913.7,845.9,69.26,-0.0307
